year,corporation,cost
2013-14,"Barwon Water",0.157579735
2013-14,"Central Highlands Water",0.203421229
2013-14,"City West Water",0.066243291
2013-14,"East Gippsland Water",0.2
2013-14,"Goulburn Murray Water",0.237094131
2013-14,"Goulburn Valley Water",0.209001867
2013-14,"South East Water",0.149948642
2013-14,"South Gippsland Water",0.23676943
2013-14,"Wannon Water",0.155575582
2013-14,"Western Water",0.182951924
2013-14,"Westernport Water",0.197112013
2013-14,"Yarra Valley Water",0.137328733
2014-15,"Barwon Water",0.172349921
2014-15,"Central Highlands Water",0.197632088
2014-15,"City West Water",0.214095842
2014-15,"East Gippsland Water",0.174285714
2014-15,"Goulburn Murray Water",0.225148923
2014-15,"Goulburn Valley Water",0.20488802
2014-15,"South East Water",0.141943405
2014-15,"South Gippsland Water",0.204459934
2014-15,"Wannon Water",0.166179361
2014-15,"Western Water",0.22163299
2014-15,"Westernport Water",0.178553248
2014-15,"Yarra Valley Water",0.120217712
2015-16,"Barwon Water",0.161987966
2015-16,"Central Highlands Water",0.146653895
2015-16,"City West Water",0.178157885
2015-16,"East Gippsland Water",0.179316239
2015-16,"Goulburn Murray Water",0.22577605
2015-16,"Goulburn Valley Water",0.184667452
2015-16,"NE Water",0.16945
2015-16,"South East Water",0.136942179
2015-16,"South Gippsland Water",0.188557495
2015-16,"Wannon Water",0.169086802
2015-16,"Western Water",0.19044067
2015-16,"Westernport Water",0.170911999
2015-16,"Yarra Valley Water",0.128155026
2016-17,"Barwon Water",0.144756926
2016-17,"Central Highlands Water",0.107780993
2016-17,"East Gippsland Water",0.168679245
2016-17,"Goulburn Murray Water",0.200598959
2016-17,"Goulburn Valley Water",0.20307484
2016-17,"Melbourne Water",0.195316469
2016-17,"NE Water",0.177743544
2016-17,"South East Water",0.147217787
2016-17,"South Gippsland Water",0.173922626
2016-17,"Wannon Water",0.155851765
2016-17,"Western Water",0.214586255
2016-17,"Westernport Water",0.182997141
2016-17,"Yarra Valley Water",0.118123205
2017-18,"Barwon Water",0.147598781
2017-18,"Central Highlands Water",0.1773235
2017-18,"Coliban",0.238377008
2017-18,"East Gippsland Water",0.168831169
2017-18,"Goulburn Murray Water",0.218609799
2017-18,"Goulburn Valley Water",0.20568277
2017-18,"Lower Murray Water",0.174840608
2017-18,"Melbourne Water",0.063489488
2017-18,"NE Water",0.211014881
2017-18,"South East Water",0.137624515
2017-18,"South Gippsland Water",0.173090898
2017-18,"Wannon Water",0.157549428
2017-18,"Western Water",0.202751557
2017-18,"Westernport Water",0.158632191
2017-18,"Yarra Valley Water",0.140375549
2018-19,"Barwon Water",0.201464405
2018-19,"Central Highlands Water",0.102601287
2018-19,"Coliban",0.206743025
2018-19,"East Gippsland Water",0.214587121
2018-19,"Goulburn Murray Water",0.26532567
2018-19,"Goulburn Valley Water",0.257134966
2018-19,"Melbourne Water",0.076677449
2018-19,"NE Water",0.209094041
2018-19,"South East Water",0.194796441
2018-19,"South Gippsland Water",0.223543888
