Utility_Name,Year,kWh,Value,Ratio
Barwon Water,2013-14,28093714.0,4427000.0,0.1575797347406612
Barwon Water,2014-15,26707294.0,4603000.0,0.17234992058723733
Barwon Water,2015-16,28952768.0,4690000.0,0.16198796605561167
Barwon Water,2016-17,28765463.0,4164000.0,0.1447569260400919
Barwon Water,2017-18,29248209.0,4317000.0,0.14759878117665257
Barwon Water,2018-19,29866318.0,6017000.0,0.2014644054884837
Barwon Water,2019-20,31470976.0,5855000.0,0.1860444366263061
Barwon Water,2020-21,28241251.0,4941000.0,0.174956838845418
Barwon Water,2021-22,26164557.0,4226000.0,0.16151620682895568
Barwon Water,2022-23,26253561.0,4165000.0,0.15864514531952445
Barwon Water,2023-24,25958392.0,4301000.0,0.16568822907058342
Barwon Water,2024-25,37410000.0,,
Central Highlands Water,2013-14,18446118.0,3752332.0,0.20342122933399862
Central Highlands Water,2014-15,19240246.0,3802490.0,0.19763208848784988
Central Highlands Water,2015-16,38195467.0,5601514.0,0.1466538948195083
Central Highlands Water,2016-17,37251030.0,4014953.0,0.10778099290140433
Central Highlands Water,2017-18,18974101.0,3364554.0,0.17732350006991107
Central Highlands Water,2018-19,22066000.0,2264000.0,0.10260128704794706
Central Highlands Water,2019-20,22635000.0,2391000.0,0.10563286944996686
Central Highlands Water,2020-21,22466000.0,1621000.0,0.0721534763642838
Central Highlands Water,2021-22,,1648000.0,
Central Highlands Water,2022-23,9198000.0,1677000.0,0.18232224396607957
Central Highlands Water,2023-24,9322000.0,1688000.0,0.18107702209826218
City West Water,2013-14,19730300.0,1307000.0,0.06624329077611592
City West Water,2014-15,5614308.0,1202000.0,0.21409584226586786
City West Water,2015-16,9485968.0,1690000.0,0.1781578854155949
City West Water,2016-17,,1486000.0,
City West Water,2017-18,,1608000.0,
City West Water,2018-19,,2286000.0,
City West Water,2019-20,11906000.0,2285000.0,0.19192004031580714
City West Water,2020-21,11268000.0,2005000.0,0.17793752218672346
Coliban,2013-14,,3951000.0,
Coliban,2014-15,,3741000.0,
Coliban,2015-16,,4157000.0,
Coliban,2016-17,,3183000.0,
Coliban,2017-18,23660000.0,5640000.0,0.23837700760777683
Coliban,2018-19,27851000.0,5758000.0,0.2067430253850849
Coliban,2019-20,25180000.0,4779000.0,0.1897934868943606
Coliban,2020-21,24906000.0,4088000.0,0.1641371557054525
Coliban,2021-22,25359200.0,4030000.0,0.15891668506892961
Coliban,2022-23,24228000.0,3890000.0,0.1605580320290573
Coliban,2023-24,25276000.0,4250000.0,0.1681436936224086
Coliban,2024-25,35804000.0,6566000.0,0.18338733102446653
East Gippsland Water,2013-14,5500000.0,1100000.0,0.2
East Gippsland Water,2014-15,5250000.0,915000.0,0.1742857142857143
East Gippsland Water,2015-16,5850000.0,1049000.0,0.17931623931623933
East Gippsland Water,2016-17,5300000.0,894000.0,0.16867924528301886
East Gippsland Water,2017-18,5544000.0,936000.0,0.16883116883116883
East Gippsland Water,2018-19,5829800.0,1251000.0,0.21458712134207006
East Gippsland Water,2019-20,5502500.0,1186000.0,0.21553839164016356
East Gippsland Water,2020-21,6095000.0,1243000.0,0.20393765381460213
East Gippsland Water,2021-22,6235000.0,1100000.0,0.1764234161988773
East Gippsland Water,2022-23,6774000.0,1198000.0,0.17685267198110421
East Gippsland Water,2023-24,6866000.0,1247000.0,0.18161957471599185
East Gippsland Water,2024-25,7116000.0,2103000.0,0.29553119730185495
GWMWater,2014-15,18383458.0,,
GWMWater,2015-16,17782150.0,,
GWMWater,2016-17,9792682.0,,
GWMWater,2017-18,14675981.0,,
GWMWater,2018-19,16055064.0,,
GWMWater,2019-20,13971354.0,3224000.0,0.2307578778692459
GWMWater,2020-21,14174624.0,2939000.0,0.2073423605451545
GWMWater,2021-22,14678896.0,2928000.0,0.1994700418887088
GWMWater,2022-23,13022700.0,2569000.0,0.1972709192410176
GWMWater,2023-24,13617000.0,2866000.0,0.21047220386281854
Goulburn Murray Water,2013-14,7359946.0,1745000.0,0.23709413085367745
Goulburn Murray Water,2014-15,7559441.0,1702000.0,0.22514892304867515
Goulburn Murray Water,2015-16,7498581.0,1693000.0,0.22577605016202398
Goulburn Murray Water,2016-17,6625159.0,1329000.0,0.20059895920988463
Goulburn Murray Water,2017-18,7108556.0,1554000.0,0.21860979923348708
Goulburn Murray Water,2018-19,7308000.0,1939000.0,0.2653256704980843
Goulburn Murray Water,2019-20,7289000.0,1713000.0,0.2350116614076005
Goulburn Murray Water,2020-21,8046000.0,1725000.0,0.21439224459358688
Goulburn Murray Water,2021-22,8713000.0,1550000.0,0.1778950992769425
Goulburn Murray Water,2022-23,7702000.0,1368000.0,0.17761620358348482
Goulburn Murray Water,2023-24,8723000.0,1550000.0,0.17769116129771867
Goulburn Valley Water,2013-14,19368248.0,4048000.0,0.2090018673862499
Goulburn Valley Water,2014-15,18707780.0,3833000.0,0.20488801985056485
Goulburn Valley Water,2015-16,22174996.0,4095000.0,0.1846674515747376
Goulburn Valley Water,2016-17,19667626.0,3994000.0,0.20307483984086336
Goulburn Valley Water,2017-18,22277024.0,4582000.0,0.2056827698349654
Goulburn Valley Water,2018-19,21724000.0,5586000.0,0.25713496593629165
Goulburn Valley Water,2019-20,22556000.0,5483000.0,0.24308388012058876
Goulburn Valley Water,2020-21,19774000.0,4096000.0,0.2071406897946799
Goulburn Valley Water,2021-22,21531000.0,4564000.0,0.2119734336538015
Goulburn Valley Water,2022-23,22399000.0,4090000.0,0.18259743738559758
Goulburn Valley Water,2023-24,21954000.0,4474000.0,0.20378974218821172
Greater Western Water,2020-21,34512000.0,2005000.0,0.05809573481687529
Greater Western Water,2021-22,36859000.0,6468000.0,0.17547953010119646
Greater Western Water,2022-23,35220000.0,5873000.0,0.16675184554230552
Greater Western Water,2023-24,34725000.0,6095000.0,0.17552195824334052
